9;488;21;51;0;0;190;84;178;2;1;0;30;133;88;53;25;63;181;132;562;36;23;1;36;41;1367;108;106;1298;30;124;18;140;38;6;14;4;16;6;0;0;10;10;19;67;5;19;2;10;49;1;3
12;510;25;182;0;9;144;54;90;0;5;0;5;49;51;57;17;17;276;43;315;10;18;0;8;93;121;188;175;145;6;211;3;6;18;2;2;3;11;0;2;0;8;14;15;44;1;6;2;3;7;0;1
9;701;52;207;0;7;192;70;97;1;1;1;5;81;107;75;20;31;419;31;408;19;22;1;12;176;137;282;370;113;69;137;4;28;28;4;12;4;31;1;6;0;13;29;43;116;1;21;3;8;9;0;2
5;424;27;33;0;5;283;147;253;7;0;0;15;46;102;78;37;72;209;103;341;49;34;0;33;66;1121;220;151;900;85;128;51;92;94;1;10;5;18;4;2;3;16;8;19;134;4;35;5;9;36;7;0
0;27;2;6;0;0;10;12;9;0;0;1;0;2;2;1;1;4;11;2;17;4;0;0;4;16;24;8;124;86;249;10;2;2;1;0;9;3;2;0;1;0;1;2;6;7;0;1;0;1;1;1;0
7;175;17;44;0;1;65;34;31;1;0;0;0;15;27;21;8;19;140;36;215;10;22;1;5;28;126;160;83;140;5;111;1;15;8;2;4;3;13;4;0;0;4;7;11;57;4;20;0;2;6;0;2
0;2;0;0;0;0;2;3;7;0;0;0;6;3;1;0;0;0;5;0;9;0;3;0;0;0;32;4;1;35;0;1;2;1;3;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;1;0;0
0;245;16;48;0;2;103;60;81;1;8;0;7;48;51;36;21;36;94;25;131;11;8;0;31;8;49;12;18;59;5;6;0;150;82;0;9;0;7;1;1;0;3;8;16;130;0;9;0;9;66;0;2
16;417;24;164;0;0;148;87;105;0;3;1;63;98;91;205;149;38;146;74;90;40;16;1;12;7;46;14;17;116;2;14;2;69;778;6;18;2;11;47;0;0;4;3;19;35;2;3;0;7;27;1;7
2;12;0;6;0;0;3;2;0;0;0;0;1;2;0;2;1;0;2;3;2;1;0;0;0;0;4;0;1;4;0;2;0;1;4;78;2;0;0;34;0;0;0;1;3;0;0;1;0;0;0;0;0
2;81;4;3;0;0;17;21;9;0;1;0;0;0;6;4;2;3;9;10;6;10;1;0;3;1;7;2;7;21;3;1;0;8;12;1;408;0;2;6;1;8;0;0;85;11;2;0;0;48;3;50;0
0;20;1;2;0;0;3;2;0;0;0;0;0;2;2;0;0;1;2;2;6;1;1;0;0;21;4;7;18;9;5;1;1;1;2;0;1;21;0;0;57;0;1;0;39;5;1;0;1;1;1;0;0
1;129;3;30;1;0;52;28;22;0;1;1;2;8;20;33;2;5;86;12;57;5;14;0;11;8;23;11;8;22;1;18;1;15;10;0;1;1;209;1;1;0;7;17;3;180;20;36;1;0;3;0;0
1;36;1;10;0;0;14;6;4;0;0;0;1;6;8;11;5;2;14;1;2;1;1;0;0;1;3;1;3;14;0;1;0;3;25;19;5;0;0;29;0;0;0;0;18;3;0;0;0;3;0;0;0
0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;3;0;2;0;0;0;2;14;2;1;5;9;1;0;0;0;0;0;0;4;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0
0;10;1;0;0;0;9;3;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;1;3;0;0;0;2;0;0;4;0;0;0;0;3;0;0;24;0;0;0;0;5;0;0;0
2;98;3;33;0;0;37;17;28;0;3;0;2;12;20;6;5;12;89;9;73;4;7;0;4;6;21;9;15;36;2;10;0;20;3;0;1;1;16;0;0;0;22;0;1;56;9;7;0;0;1;0;3
1;239;8;63;0;0;63;27;29;0;3;0;2;14;23;12;8;6;113;20;79;3;27;0;5;8;35;14;11;46;1;18;1;16;6;1;0;0;6;0;0;0;1;50;2;19;0;8;0;0;0;0;2
6;859;23;20;0;0;143;40;42;0;0;0;4;19;30;10;7;17;18;20;24;15;0;0;23;2;24;12;20;44;1;8;0;9;6;1;63;9;2;16;0;14;1;1;1103;18;0;0;0;117;6;40;1
8;554;19;110;0;5;190;125;119;0;9;0;4;39;69;44;15;37;259;35;201;20;30;2;34;28;105;44;81;142;7;47;2;130;37;0;8;5;171;0;3;1;41;44;12;543;32;40;2;3;14;0;8
2;21;4;8;0;0;17;4;9;0;1;0;0;4;4;7;1;1;41;0;24;1;2;0;7;0;7;4;4;8;2;11;0;3;2;1;0;0;31;0;2;1;7;15;4;86;8;28;1;1;2;0;0
2;136;2;40;0;1;55;15;15;0;2;0;0;8;7;6;3;4;76;1;51;0;15;0;3;11;16;16;13;30;1;21;0;11;5;2;0;1;2;0;0;0;11;22;3;100;13;34;0;0;1;0;1
0;11;1;4;0;0;1;1;3;0;0;0;1;2;4;2;0;2;6;2;7;0;2;0;0;5;3;0;5;0;0;4;0;3;0;0;0;2;1;1;0;0;0;2;1;3;0;0;7;0;0;0;0
3;126;5;6;0;1;31;21;25;0;0;0;1;5;14;7;2;4;32;2;16;0;2;0;9;2;14;11;7;18;0;3;0;5;6;1;53;0;1;2;0;8;0;0;105;3;1;0;0;97;4;15;0
7;240;21;138;0;4;109;55;58;0;11;0;1;44;67;27;8;63;118;18;141;8;9;1;20;1;67;6;14;64;2;8;1;128;56;0;7;1;0;1;0;2;2;2;11;28;0;1;1;3;106;0;1
0;9;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;17;0;0;0;0;0;0;0;12;0;0;0;0;4;0;7;0
0;12;0;10;0;0;4;6;8;0;0;0;0;2;2;5;1;2;13;0;5;0;0;0;1;1;1;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;1
